CD_IDENTIFICADOR;CD_PRODUTO;CD_LOTE;DT_VALIDADE;CD_UNI_PRO;DS_UNIDADE
817595;3;000;03/03/2022;47562;CP100MG
817984;3;0000;03/03/2022;47562;CP100MG
708977;3;000;03/03/2022;47562;CP100MG
817987;3;00000;30/06/2029;47562;CP100MG
817986;3;170620;30/10/2025;47562;CP100MG
754544;3;170620;30/10/2025;47562;CP100MG
694744;3;170620;30/10/2025;47562;CP100MG
817983;3;304050;12/12/2021;47562;CP100MG
807145;3;304050;12/12/2021;47562;CP100MG
691901;3;26052020;30/12/2022;47562;CP100MG
756453;3;.9RA06688;30/01/2022;47562;CP100MG
795890;3;02158/;30/10/2022;47562;CP100MG
771615;3;1BRA02349;30/06/2022;47562;CP100MG
781447;3;ARA04069;30/10/2021;47562;CP100MG
754543;3;ARA04069;30/10/2021;47562;CP100MG
724555;3;ARA04069;30/10/2021;47562;CP100MG
720443;3;ARA04069;30/10/2021;47562;CP100MG
724728;3;ARA04069;30/10/2021;47562;CP100MG
724727;3;ARA04069;30/10/2021;47562;CP100MG
818764;3;ARA053392;30/11/2021;47562;CP100MG
823215;3;ARA05392;30/11/2021;47562;CP100MG
817487;3;ARA05392;30/11/2021;47562;CP100MG
825865;3;ARA05392;30/11/2021;47562;CP100MG
800789;3;ARA05392;30/11/2021;47562;CP100MG
823079;3;ARA05392;30/11/2021;47562;CP100MG
828278;3;ARA05392;30/11/2021;47562;CP100MG
819551;3;ARA05392;30/11/2021;47562;CP100MG
827134;3;ARA05392;30/11/2021;47562;CP100MG
826965;3;ARA05392;30/11/2021;47562;CP100MG
798430;3;ARA05392;30/11/2021;47562;CP100MG
798396;3;ARA05392;30/11/2021;47562;CP100MG
796512;3;ARA05392;30/11/2021;47562;CP100MG
798541;3;ARA05392;30/11/2021;47562;CP100MG
825760;3;ARA05392;30/11/2021;47562;CP100MG
804700;3;ARA05392;30/11/2021;47562;CP100MG
796868;3;ARA05392;30/11/2021;47562;CP100MG
800493;3;ARA05392;30/11/2021;47562;CP100MG
798730;3;ARA05392;30/11/2021;47562;CP100MG
802087;3;ARA05392;30/11/2021;47562;CP100MG
811016;3;ARA05392;30/11/2021;47562;CP100MG
802173;3;ARA05392;30/11/2021;47562;CP100MG
777098;3;ARA05392;30/11/2021;47562;CP100MG
793751;3;ARA05392;30/11/2021;47562;CP100MG
781670;3;ARA05392;30/11/2021;47562;CP100MG
783148;3;ARA05392;30/11/2021;47562;CP100MG
