CD_IDENTIFICADOR;CD_PRODUTO;CD_LOTE;CD_UNI_PRO;DT_VALIDADE;DS_UNIDADE
714345;65030;123;42065;30/09/2022;UNIDADE
809208;53184;0000143489;31412;08/10/2022;FR250MG
802769;53184; 0000143488;31412;08/10/2022;FR250MG
828510;53184;0000143488;31412;08/10/2022;FR250MG
826576;53184;0000143488;31412;30/10/2022;FR250MG
806944;53184;0000143489;31412;08/10/2022;FR250MG
795996;53184;0000143488;31412;08/10/2022;FR250MG
806329;53184; 0000143488;31412;08/10/2022;FR250MG
782223;53184;0000143488;31412;08/10/2022;FR250MG
792846;53184;0000143488;31412;08/10/2022;FR250MG
786450;53184;0000143488;31412;08/10/2022;FR250MG
763086;53184; 0000143488;31412;08/10/2022;FR250MG
763081;53184;0000143488;31412;30/10/2022;FR250MG
762699;53184;0000143488;31412;08/10/2022;FR250MG
761993;53184; 0000143487;31412;08/10/2022;FR250MG
764856;53184; 0000143488;31412;08/10/2022;FR250MG
762395;53184;.0000143488;31412;08/10/2022;FR250MG
762394;53184;.0000143488;31412;08/10/2022;FR250MG
763084;53184; 0000143488;31412;08/10/2022;FR250MG
761953;53184;0000143487.;31412;30/10/2022;FR250MG
761994;53184; 0000143487;31412;08/10/2022;FR250MG
730800;53184;0000136630;31412;12/03/2022;FR250MG
743575;53184;0000140922;31412;14/07/2022;FR250MG
728508;53184;0000139283;31412;03/06/2022;FR250MG
742254;53184;0000139283;31412;03/06/2022;FR250MG
728608;53184;0000139283;31412;03/06/2022;FR250MG
744544;53184;0000143487;31412;08/10/2022;FR250MG
707045;53184;0000136630;31412;12/03/2022;FR250MG
723337;53184;0000136630;31412;12/03/2022;FR250MG
694323;53184;0000135877;31412;31/01/2022;FR250MG
685234;53184;0000135877;31412;31/01/2022;FR250MG
694663;53184;0000136630;31412;12/03/2022;FR250MG
795135;66215;17961479;51442;30/06/2023;UNIDADE
778787;66215;17923563;51442;30/12/2022;UNIDADE
795153;66216;17934775;51443;31/01/2023;UNIDADE
778872;66216;17936505;51443;28/02/2023;UNIDADE
713028;66216;17896921;51443;31/08/2022;UNIDADE
713027;66216;17934775;51443;31/01/2023;UNIDADE
795165;66217;17986089;51444;31/10/2023;UNIDADE
819428;75313;21070581;64248;31/07/2023;FR100MG
817738;75313;21070573;64248;31/07/2023;FR100MG
816836;75313;21050043;64248;30/05/2023;FR100MG
816835;75313;21060131;64248;30/06/2023;FR100MG
811631;75313;21060280;64248;30/06/2023;FR100MG
811630;75313;20061041;64248;30/06/2022;FR100MG
0107896676430264172303011021030030;75313;21030030;64248;30/03/2023;FR100MG
816845;75313;21070573;64248;31/07/2023;FR100MG
809694;75313;21060131;64248;30/06/2023;FR100MG
0107896676430264172305011021050095;75313;21050095;64248;30/05/2023;FR100MG
0107896676430264172306011021060131;75313;21060131;64248;30/06/2023;FR100MG
0107896676430264172305011021050043;75313;21050043;64248;30/05/2023;FR100MG
816855;75313;21070573;64248;31/07/2023;FR100MG
805174;75313;21060281;64248;30/06/2023;FR100MG
825230;75313;21060280;64248;30/06/2023;FR100MG
825184;75313;20061041;64248;30/06/2022;FR100MG
809747;75313;21050095;64248;30/05/2023;FR100MG
809745;75313;21050043;64248;30/05/2023;FR100MG
809744;75313;21060131;64248;30/06/2023;FR100MG
799397;75313;21050095;64248;30/05/2023;FR100MG
809982;75313;21050125;64248;31/05/2023;FR100MG
772536;75313;21050043;64248;30/05/2023;FR100MG
794843;75313;21060131;64248;30/06/2023;FR100MG
795372;75313;21030030;64248;30/03/2023;FR100MG
795348;75313;21060131;64248;30/06/2023;FR100MG
795338;75313;21050095;64248;30/05/2023;FR100MG
795337;75313;21050043;64248;30/05/2023;FR100MG
794082;75313;21030030;64248;30/03/2023;FR100MG
774361;75313;21060130;64248;30/06/2023;FR100MG
774228;75313;21050095;64248;30/05/2023;FR100MG
774224;75313;21030030;64248;30/03/2023;FR100MG
777039;75313;21050043;64248;30/05/2023;FR100MG
780558;75313;21050043;64248;30/05/2023;FR100MG
787372;75313;21050095;64248;30/05/2023;FR100MG
794718;75313;20080682;64248;30/08/2022;FR100MG
790058;75313;20061041;64248;30/06/2022;FR100MG
789370;75313;21030030;64248;30/03/2023;FR100MG
788739;75313;19100472;64248;30/10/2021;FR100MG
776916;75313;21060131;64248;30/06/2023;FR100MG
783196;75313;21050043;64248;30/05/2023;FR100MG
779769;75313;21050043;64248;30/05/2023;FR100MG
779401;75313;21050095;64248;30/05/2023;FR100MG
779400;75313;21050043;64248;30/05/2023;FR100MG
776408;75313;21060280;64248;30/06/2023;FR100MG
776398;75313;21060131;64248;30/06/2023;FR100MG
780513;75313;21010711;64248;30/01/2023;FR100MG
790269;75313;20070084;64248;30/07/2022;FR100MG
766596;75313;21040123;64248;30/04/2023;FR100MG
760770;75313;21020051;64248;28/02/2023;FR100MG
768984;75313;21040124;64248;30/04/2023;FR100MG
766985;75313;21030030;64248;30/03/2023;FR100MG
771589;75313;21050096;64248;30/05/2023;FR100MG
766649;75313;20070097;64248;30/07/2022;FR100MG
766648;75313;21010712;64248;30/01/2023;FR100MG
766641;75313;20120243;64248;30/12/2022;FR100MG
766636;75313;21020016;64248;28/02/2023;FR100MG
766634;75313;21010711;64248;30/01/2023;FR100MG
762833;75313;21020041;64248;28/02/2023;FR100MG
762052;75313;21020201;64248;28/02/2023;FR100MG
764726;75313;21030030;64248;30/03/2023;FR100MG
764116;75313;21030030;64248;30/03/2023;FR100MG
762960;75313;21020041;64248;28/02/2023;FR100MG
760787;75313;21020051;64248;28/02/2023;FR100MG
760786;75313;21020016;64248;28/02/2023;FR100MG
760785;75313;21010711;64248;30/01/2023;FR100MG
763513;75313;21020051;64248;28/02/2023;FR100MG
763509;75313;21010711;64248;30/01/2023;FR100MG
763502;75313;21020051;64248;28/02/2023;FR100MG
763501;75313;21010711;64248;30/01/2023;FR100MG
772262;75313;21050095;64248;30/05/2023;FR100MG
768010;75313;21040147;64248;30/04/2023;FR100MG
762835;75313;21010711;64248;30/01/2023;FR100MG
774500;75313;21050095;64248;30/05/2023;FR100MG
774499;75313;21030030;64248;30/03/2023;FR100MG
765253;75313;21020051;64248;28/02/2023;FR100MG
