CD_IDENTIFICADOR;CD_PRODUTO;CD_LOTE;DT_VALIDADE;CD_UNI_PRO;DS_UNIDADE
817595;3;000;2022-03-03;47562;CP100MG
817984;3;0000;2022-03-03;47562;CP100MG
708977;3;000;2022-03-03;47562;CP100MG
817987;3;00000;2029-06-30;47562;CP100MG
817986;3;170620;2025-10-30;47562;CP100MG
754544;3;170620;2025-10-30;47562;CP100MG
694744;3;170620;2025-10-30;47562;CP100MG
817983;3;304050;2021-12-12;47562;CP100MG
807145;3;304050;2021-12-12;47562;CP100MG
691901;3;26052020;2022-12-30;47562;CP100MG
756453;3;.9RA06688;2022-01-30;47562;CP100MG
795890;3;02158/;2022-10-30;47562;CP100MG
771615;3;1BRA02349;2022-06-30;47562;CP100MG
781447;3;ARA04069;2021-10-30;47562;CP100MG
754543;3;ARA04069;2021-10-30;47562;CP100MG
724555;3;ARA04069;2021-10-30;47562;CP100MG
720443;3;ARA04069;2021-10-30;47562;CP100MG
724728;3;ARA04069;2021-10-30;47562;CP100MG
724727;3;ARA04069;2021-10-30;47562;CP100MG
818764;3;ARA053392;2021-11-30;47562;CP100MG
806797;3;ARA0G014;2022-01-30;47562;CP100MG
794481;3;BRA00527;2021-10-13;47562;CP100MG
775982;3;BRA00527;2021-10-13;47562;CP100MG
793357;3;BRA00527;2021-10-13;47562;CP100MG
774735;3;BRA00527;2021-10-13;47562;CP100MG
811092;3;BRA01205;2022-06-30;47562;CP100MG
810375;3;BRA02896;2022-07-30;47562;CP100MG
811747;3;BRA02896;2022-07-30;47562;CP100MG
811654;3;BRA02896;2022-07-30;47562;CP100MG
810635;3;BRA62349;2023-01-30;47562;CP100MG
809802;465;506070;2022-12-12;20923;FR200ML
715255;465; 100941908;2021-06-12;20923;FR200ML
700065;465; 100941908;2021-06-12;20923;FR200ML
700395;465; 100941908;2021-06-12;20923;FR200ML
755516;465;101006217;2022-08-30;20923;FR200ML
769593;465;101014382;2021-12-10;20923;FR200ML
773874;465;101016239;2023-03-30;20923;FR200ML
777583;465;101016239;2023-03-30;20923;FR200ML
779354;465;101039920;2022-01-13;20923;FR200ML
805087;465;101046073;2022-02-28;20923;FR200ML
817798;465;101049732;2022-03-03;20923;FR200ML
821162;465;101049732;2022-03-03;20923;FR200ML
829771;465;101058546;2022-04-30;20923;FR200ML
825824;465;101058546;2022-04-30;20923;FR200ML
683564;465;1100913621;2028-06-30;20923;FR200ML
810041;481;1;2025-05-30;22733;FR200ML
769591;481;101014636;2021-10-13;22733;FR200ML
760896;481;101014636;2021-10-13;22733;FR200ML
756913;481;101014636;2021-10-13;22733;FR200ML
773889;481;101019842;2023-06-30;22733;FR200ML
779330;481;101033589;2022-01-01;22733;FR200ML
805086;481;101042899;2022-02-28;22733;FR200ML
825389;481;101049678;2022-01-04;22733;FR200ML
829769;481;101049678;2022-01-04;22733;FR200ML
823342;481;101049678;2022-01-04;22733;FR200ML
809844;481;101049678;2022-01-04;22733;FR200ML
807265;481;101049678;2022-01-04;22733;FR200ML
683786;481;1100911645;2028-06-30;22733;FR200ML
760900;484;10104370;2021-12-10;20925;FR200ML
756912;484;10104370;2021-12-10;20925;FR200ML
679105;484;15012020;2021-12-30;20925;FR200ML
715256;484;17082020;2022-12-30;20925;FR200ML
705213;484;17082020;2022-12-30;20925;FR200ML
760901;484;101014370;2021-12-10;20925;FR200ML
773772;484;101024990;2023-03-30;20925;FR200ML
769596;484;101027732;2021-07-12;20925;FR200ML
779357;484;101038396;2022-01-14;20925;FR200ML
777572;484;101038396;2022-01-14;20925;FR200ML
779356;484;101041059;2022-01-26;20925;FR200ML
805085;484;101046097;2022-02-28;20925;FR200ML
810042;484;101053127;2022-03-19;20925;FR200ML
829768;484;101058572;2022-04-30;20925;FR200ML
825825;484;101058572;2022-04-30;20925;FR200ML
683561;484;1100907357;2028-06-30;20925;FR200ML
779341;507;101006233;2021-04-10;20926;FR125ML
779317;522;101006228;2021-04-10;20927;FR125ML
769615;522;101006228;2021-04-10;20927;FR125ML
773801;524;101014468;2023-03-30;20929;FR200ML
766075;524;101014468;2023-03-30;20929;FR200ML
760905;528;20211209;2021-09-12;20931;LT400GR
726074;528;20211209;2021-09-12;20931;LT400GR
700060;528;20211209;2021-09-12;20931;LT400GR
768664;579;31052022;2024-05-30;20943;FR200ML
752688;579;0287046001;2021-01-10;20943;FR200ML
746889;579;0287046001;2021-01-10;20943;FR200ML
744188;579;0287046001;2021-01-10;20943;FR200ML
762666;579;0349046001;2021-01-12;20943;FR200ML
755503;579;0349046001;2021-01-12;20943;FR200ML
765677;579;1019046001;2022-01-01;20943;FR200ML
755506;579;1019046001;2022-01-01;20943;FR200ML
779319;579;1030046001;2022-01-01;20943;FR200ML
766201;579;1063046001;2022-01-03;20943;FR200ML
765675;579;1063046001;2022-01-03;20943;FR200ML
768407;579;1063046001;2022-01-03;20943;FR200ML
779342;579;1063046001;2022-03-30;20943;FR200ML
821141;579;1093046001;2022-01-04;20943;FR200ML
799112;579;1093046001;2022-01-04;20943;FR200ML
774392;579;1093046001;2022-01-04;20943;FR200ML
773909;579;1093046001;2022-01-04;20943;FR200ML
777582;579;1093046001;2022-01-04;20943;FR200ML
774190;579;1093046001;2022-01-04;20943;FR200ML
772808;579;1093046001;2022-01-04;20943;FR200ML
820562;579;1122046001;2022-01-05;20943;FR200ML
827581;579;1122046001;2022-01-05;20943;FR200ML
804939;579;1122046001;2022-01-05;20943;FR200ML
